@relation chat

@attribute class_area {socio-emocional,tarea}
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
socio-emocional,'pool ',0,0,0,1,0,0,0,0,0,0,0,0
socio-emocional,'da le da le , nos vemos ',0,0,0,1,2,3,0,0,0,1,0,0
socio-emocional,'da le da le ',0,0,0,0,2,2,0,0,0,0,0,0
socio-emocional,'da le . saludo ',0,0,0,1,1,1,0,0,0,1,0,0
socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
socio-emocional,'da le ',0,0,0,0,1,1,0,0,0,0,0,0
socio-emocional,'disculpar el tardanza . ',0,0,1,1,1,0,0,0,0,1,0,0
tarea,'estar volver de el faca . ',0,0,1,1,2,0,0,0,1,1,0,0
tarea,'me hacer esperar más de costumbre faja ',0,1,0,2,2,1,0,0,1,0,0,0
socio-emocional,'disculpar q estar desaparecer , ser q tener q reentrega el compilador en uno rato ? ',0,0,2,2,6,2,1,0,1,2,0,0
tarea,'el mal no , ya lo tener , el integrante ya lo poner ',0,3,2,2,2,2,0,0,0,2,0,0
tarea,'el razonamiento_pasado en vasos , ser uno paradigma de resolución de problema con acercamiento de el inteligencia artificial . ',0,0,3,7,2,0,0,0,5,2,0,0
tarea,'ese entender yo ',0,0,0,0,1,2,0,0,0,0,0,0
tarea,'este el 3 y después el 2 ',0,1,3,0,0,0,1,0,0,0,2,0
socio-emocional,'esta car_ature_ando_lo ',0,0,0,1,1,0,0,0,0,0,0,0
tarea,'esta el dominio de aplicación en dibujados ',0,0,1,3,1,0,0,0,2,0,0,0
tarea,'este serio el ante_ultimo trabajo no ? ',1,2,2,1,0,0,0,0,0,1,0,0
tarea,'estar buscar pero no encontrar uno bueno explicación para el que decir matear . de donde lo sacar ? ( minerva de dato y procesamiento de lenguaje ) ',1,1,2,5,6,3,2,0,4,4,0,0
tarea,'fin . ',0,0,0,1,0,0,0,0,0,1,0,0
socio-emocional,'genial - ',0,0,0,1,0,0,0,0,0,1,0,0
socio-emocional,'genial ',1,0,0,0,0,0,0,0,0,0,0,0
socio-emocional,'haber cosa que siempre lo decir en inglés , porque se perder en el traducción , malo miar ( seguir enfermo y cansar jajay ) ',1,1,1,4,6,3,2,1,2,4,0,0
socio-emocional,'bey , chico , sorra que colgar , andar con fiebre y angina , pero vengar trabajar a el palo igual , así que no se preocupar < 3 . ',1,2,1,6,5,2,3,0,2,7,1,0
socio-emocional,'qué colorete eh ',0,0,1,1,0,0,0,1,0,0,0,0
socio-emocional,'hola gente , disculpar el tardanza ',0,0,1,2,1,0,0,1,0,1,0,0
socio-emocional,'ja por ahora no me enojar , he trabajar con gente que aparecer cada TM_min:30 a decir : \" este no me gustar \" , \" estar todo mal \" , \" no ir a entregar así \" , \" así no \" ',0,7,2,2,8,4,0,2,4,13,1,0
socio-emocional,'jajay perdoné como q reinen entrar estar medio perder ',0,1,0,1,4,0,2,1,0,0,0,0
tarea,'fosé lo agregar , pero porque le decir que estar lindo ',1,0,0,1,3,2,3,0,0,1,0,0
socio-emocional,'joya ',0,0,0,1,0,0,0,0,0,0,0,0
tarea,'el diferencia ser q el otro vez lo hacer por el chata de el drive y ahora nos pedir q lo hacer por a ',0,1,5,5,4,3,3,0,3,0,0,0
tarea,'el idea de dB ser , a el recibir uno problema , ser buscar solución a problema similar y brindar talcoso respuesta ',1,0,3,6,5,0,2,0,3,2,0,0
socio-emocional,'listo nos ver ',0,0,0,0,1,1,0,1,0,0,0,0
socio-emocional,'listo , nos ver ',0,0,0,0,1,1,0,1,0,1,0,0
tarea,'machina clearing ser uno mundo gigante chico , tratar de recordar el que hacer en el trabajo pasar y ir a ver que estar generalizar mal ',2,1,3,4,9,1,2,0,3,1,0,0
socio-emocional,'me arrepentir ',0,0,0,0,1,1,0,0,0,0,0,0
socio-emocional,'me fijo , no te asegurar que quedar bien ? ',1,2,0,0,2,2,1,0,0,2,0,0
socio-emocional,'me ir , adir ! ',0,0,0,0,2,1,0,0,0,2,0,0
socio-emocional,'me ir ',0,0,0,0,1,1,0,0,0,0,0,0
socio-emocional,'me ir ',0,0,0,0,1,1,0,0,0,0,0,0
socio-emocional,'no decir nada ',0,1,0,0,1,1,0,0,0,0,0,0
socio-emocional,'no me sonar en español , perdón ',0,1,0,2,1,1,0,0,1,1,0,0
tarea,'no se por qué te marear en decir \" le_pasa_la_misma_base_de_datos_mas_eso \" , osen , estar en uno definición ',0,1,1,2,3,3,0,1,3,4,0,0
tarea,'no todo el que haber en internet tener que ser cierto o reflejar el que nosotros aprender debatir ',1,1,3,1,6,3,2,0,1,0,0,0
tarea,'no , no poder porque ser algo de cada uno , a_menos_que ser uno hacer ( ? , además te estar leer todo ',0,3,3,1,5,3,2,0,1,5,0,0
socio-emocional,'nos ver saludo ',0,0,0,1,1,1,0,0,0,0,0,0
socio-emocional,'nos ver ',0,0,0,0,1,1,0,0,0,0,0,0
socio-emocional,'perdoné recién llegar ',0,1,0,1,1,0,0,0,0,0,0,0
socio-emocional,'perdoné , no pobre , pero haber q agregar ',1,1,0,1,2,0,2,0,0,2,0,0
socio-emocional,'perdono ! ',0,0,0,1,0,0,0,0,0,1,0,0
socio-emocional,'perdoné ',0,0,0,1,0,0,0,0,0,0,0,0
socio-emocional,'perdoné ',0,0,0,1,0,0,0,0,0,0,0,0
socio-emocional,'perfecto ',1,0,0,0,0,0,0,0,0,0,0,0
tarea,'pero si este usar razonamiento basar en caso el base de dato ya clasificar con que se corresponder cada hecho , entonces cuan querer consultar uno caso nuevo ya ir a tener el relaciona en el base de dato ',1,3,5,10,8,2,3,0,6,1,0,0
tarea,'por ahora no ! ',0,2,0,0,0,0,0,0,1,1,0,0
tarea,'por el que entendió ser como que el dB abstraer el problema resolver para ver si ser compatible con el que necesitar resolver , poder ser ? ',1,0,4,2,10,2,3,0,3,2,0,0
tarea,'porque por haber parte de uno soluciona , deducir el nuevo , y ser como uno definición recursivo después ',2,1,3,3,3,0,3,0,2,2,0,0
socio-emocional,'si como que buscar entre el solución viejo , uno que servir onset parecer para solucionar uno nuevo . . y ese nuevo el guarda en el base para que servir a otro ',3,0,7,3,5,2,5,0,5,3,0,0
socio-emocional,'si estar activo significar que estar en el ventana , si estar media opaco que ya leer ',2,1,1,2,5,1,3,0,1,1,0,0
socio-emocional,'si pi podar un_fi_car_lo con uno solo variable , y el resto poder ser que se instancia con el valor que esta guardar en el base ',1,1,4,4,6,2,4,0,3,1,0,0
socio-emocional,'si te enseñar uno par , y te cambio el número ir a ver algo similar en el que ya hacer ',1,1,3,3,4,4,2,0,2,1,0,0
socio-emocional,'si yo leu ese y uno mas ',0,0,1,1,0,2,3,0,0,0,0,0
tarea,'sin el paréntesis ya no saber de que hablar ',0,2,1,1,2,1,0,0,2,0,0,0
tarea,'sotavente avisar de el nuevo grupo . ',1,1,1,1,1,0,0,0,1,1,0,0
tarea,'tener que arrancar saber ',0,0,0,0,3,0,1,0,0,0,0,0
tarea,'y retan ser cuando guardar este nuevo soluciona ',1,0,1,2,2,0,2,0,0,0,0,0
tarea,'yo en 10 me tener que ir . . ',0,0,0,0,2,2,1,0,1,2,1,0
tarea,'yo me ir a dormís mañana trabajo ',0,2,0,1,1,2,0,0,1,0,0,0
tarea,'? ',0,0,0,0,0,0,0,0,0,1,0,0
tarea,'chico yo estar igual que renco , rendir con el ja . . hasta el 5 no creer que llegar ',0,2,2,2,4,1,2,1,2,3,1,0
socio-emocional,'riego no hacer ese ',0,1,0,1,1,1,0,0,0,0,0,0
socio-emocional,'estar mal el 2 párrafo , haber uno montón de cosa implícito que en el contexto ese no se notar ',2,2,3,4,3,3,0,0,2,1,0,0
tarea,'estar rendir uno final a ese hora ',0,0,2,2,2,0,0,0,1,0,0,0
socio-emocional,'gracia por c_o_p_y_paste_arme el definición de uno palabra que ya saber , no ser necesario ',1,2,2,4,2,1,0,0,2,1,0,0
tarea,'haber redundancia ',0,0,0,1,1,0,0,0,0,0,0,0
tarea,'faja no nos servir javo ',1,1,0,0,1,1,0,1,0,0,0,0
tarea,'justo en ese horario no poder dar clase . . ',0,2,1,2,2,0,0,0,1,2,0,0
tarea,'leste el que poner ? ? ',0,0,1,0,2,1,0,0,0,2,0,0
socio-emocional,'q participar todo ser mas facial si estar todo y lo terminar de uno ',1,0,1,0,4,3,4,0,1,0,0,0
tarea,'mas tarde poder , pero pensar estudiar , mañana tener uno final ',0,2,1,1,4,0,2,0,0,2,0,0
socio-emocional,'me gustar mas antes ',0,1,0,0,1,1,1,0,0,0,0,0
socio-emocional,'nao ',0,1,0,0,0,0,0,0,0,0,0,0
socio-emocional,'nadie se quedar de brazo cruzar . ',0,0,0,1,2,2,0,0,1,1,0,0
socio-emocional,'no agregan palabra a el definición que poder confundir ',0,1,1,2,3,1,0,0,1,0,0,0
socio-emocional,'no chacón ',0,1,0,1,0,0,0,0,0,0,0,0
socio-emocional,'no estar ayudar a mi dolor de cabeza jajaj ',0,1,1,3,2,0,0,0,2,0,0,0
socio-emocional,'no estar hablar de pasar nada ',0,1,0,0,3,1,0,0,1,0,0,0
socio-emocional,'no maná , ser uno locura , tener idea de el que ser ? no ser algo fácil , por qué te creer que no encontrar nada ? jajay ',1,4,2,2,7,4,1,1,2,5,0,0
socio-emocional,'no me hacer quedar como uno ortiga , vos saber que no estar bien mover todo así_como si nada , vos mismo pedir perdón después_de el pastar jajay ? ',1,3,2,2,7,5,4,1,1,3,0,0
socio-emocional,'no me meter en ese ',0,1,0,0,1,2,0,0,1,0,0,0
socio-emocional,'no me parecer el de el modelo de negocio ',0,1,2,2,1,1,0,0,2,0,0,0
socio-emocional,'no no banca que ya palmos a el 2 ',0,3,1,1,1,1,0,0,1,0,1,0
socio-emocional,'no no comparar mas ',0,2,0,0,1,0,1,0,0,0,0,0
socio-emocional,'no no recién prendar el pi ',0,3,1,1,1,0,0,0,0,0,0,0
socio-emocional,'no parar , no necesaria_mente ',0,3,0,0,1,0,0,0,0,1,0,0
socio-emocional,'no poder directa_mente , entrar a trabajar a el 9 , a el 5 estar en el campus , también llegar a casa tar_di_si_m_o y el [S:??/??/??:??.??:??] me levantar temprano ',1,3,4,2,7,1,1,0,5,3,2,1
socio-emocional,'no ser cabeza ',0,1,0,1,1,0,0,0,0,0,0,0
socio-emocional,'no te enojar jajay ',0,1,0,0,1,1,0,1,0,0,0,0
socio-emocional,'no te lo ir a dar , creer que no entender el propósito de el trabajo ',0,2,2,2,4,2,1,0,2,1,0,0
tarea,'no ver que dejar nada todavía ',1,1,0,0,2,1,1,0,0,0,0,0
tarea,'no , estar matear , jan , dieno y yo ',0,2,0,1,2,1,1,0,0,3,0,0
socio-emocional,'no , nada de aplicación jajaj ',0,1,0,2,0,1,0,0,1,1,0,0
socio-emocional,'no , no haber nadie jajay ',0,2,0,0,1,1,0,1,0,1,0,0
socio-emocional,'no , no poder generalizar así jajay ',0,3,0,0,2,0,0,1,0,1,0,0
socio-emocional,'no , todo bien , pero me romper el lomo leer papera , y artículo para poder liquidar lo hoy , estar con fiebre , angina , y mañana tener que dejar todo listo para viajar a el noche ',1,3,4,7,8,2,4,0,4,6,0,0
socio-emocional,'no ',0,1,0,0,0,0,0,0,0,0,0,0
socio-emocional,'no ',0,1,0,0,0,0,0,0,0,0,0,0
socio-emocional,'no ',0,1,0,0,0,0,0,0,0,0,0,0
socio-emocional,'no ',0,1,0,0,0,0,0,0,0,0,0,0
socio-emocional,'para mi no ',0,1,1,0,0,0,0,0,1,0,0,0
socio-emocional,'pero no poder c_o_p_y_paste_ar_la ',0,1,0,1,1,0,1,0,0,0,0,0
socio-emocional,'porque para volver a pensar en como traducir lo como ya lo tener no tener sentido ',0,2,0,1,5,2,3,0,3,0,0,0
socio-emocional,'sí , pero no poder hacer ese chacón , noté col . ',1,2,0,2,2,1,1,0,0,3,0,0
tarea,'si . me parecer q estar medio pobre ',1,0,0,1,2,2,1,0,0,1,0,0
socio-emocional,'sí ',0,1,0,0,0,0,0,0,0,0,0,0
socio-emocional,'todo bien , pero no , no volver a hacer ese ',0,3,0,0,2,2,1,0,1,2,0,0
socio-emocional,'tu , no , no ser violero ',1,2,0,1,1,0,0,0,0,2,0,0
tarea,'yo estar cocinar ? ',0,0,0,0,2,1,0,0,0,1,0,0
tarea,'yo mañana tener que ir a el facultad a el 14hs a hablar con el de operativo por el tema de el trabajo , y después viajaría , el tema ser que no se cuanto demorar en el faca para saber cuando viajar ',2,3,7,5,7,3,4,0,9,2,1,0
tarea,'yo no poder mandar lo estar salir en viaje ',0,1,0,1,4,2,0,0,1,0,0,0
tarea,'yo tener que ir a operativo a el defensa y hasta el 5 capaz no me desocupar ',2,1,2,1,3,2,2,0,3,0,1,0
tarea,'a qué se referir con el aprendizaje de máquina ? ',0,0,1,2,1,2,0,0,3,1,0,0
tarea,'no entender , me sonar super redundante ',1,1,0,1,2,1,0,0,0,1,0,0
tarea,'aga , habiz uno clasificación , pero no se si incluir lo o no ',1,3,1,1,1,2,3,0,0,2,0,0
tarea,'adaptar el qué ? ',0,0,1,0,1,1,0,0,0,1,0,0
tarea,'alguien poder aportar el 3 partir de el que decir el lino ese ? en el 5.1 ',0,0,5,1,4,2,0,0,2,1,2,0
tarea,'alguien se ofrecer ? ',0,0,0,0,1,2,0,0,0,1,0,0
tarea,'alguien tener gana de probar este ? acá en ainus no tener el si prologá ',1,2,1,3,3,2,0,0,2,1,0,0
tarea,'aprendizaje de el máquina ? no entender ',0,1,1,2,1,0,0,0,1,1,0,0
socio-emocional,'bueno no se ',0,1,0,0,0,1,0,1,0,0,0,0
tarea,'bueno pero me referir a q ese parte nos si ser importante ',2,0,1,2,2,1,3,0,1,0,0,0
tarea,'che en lo uno agregar el de el fase no ? ',0,1,2,1,1,2,0,1,2,1,0,0
tarea,'che estar bien el entrega ? el asunto de el mal y el titular de el trabajo ser así ? ',0,1,5,5,3,0,1,1,2,2,0,0
tarea,'che , que onda con el uno ? parecer q no esta todo de acuerdo en qué poner ? ',0,1,1,2,3,4,1,1,3,3,0,0
tarea,'che , y yo dirima que sacar ese ultimar , porque total ya tener 3 , y dudar mucho que lo ultimar este bien ',1,2,1,2,5,3,5,1,0,3,1,0
tarea,'código no ir a encontrar , dudar que exista pública_mente ',0,2,0,1,4,0,1,0,1,1,0,0
tarea,'comparación de caso , se referir a el momento que buscar uno caso similar que te permitir resolver el problema actual ? ',2,0,3,5,4,4,0,0,2,2,0,0
tarea,'confirmar que me llegar el invitación . ',0,0,1,1,2,1,1,0,0,1,0,0
socio-emocional,'si creer que poder mañana a ese hora ',0,1,1,1,2,0,2,0,1,0,0,0
tarea,'creer q ser uno asociación muy rapiña o algo de ese ',1,1,1,1,2,2,2,0,1,0,0,0
tarea,'creer q ser 3 ',0,0,0,0,2,1,0,0,0,0,1,0
tarea,'creer que mañana a el tarde tener que viajar , todavía no se el hora , pero le aviso ',0,2,2,4,3,2,3,0,1,2,0,0
tarea,'de que hablar ? ? ',0,0,0,0,1,0,1,0,1,2,0,0
tarea,'de qué hablar ? ',0,0,0,0,1,1,0,0,1,1,0,0
tarea,'decir por_ejemplo \" noté ( ... ) , rail ? ',1,1,0,2,0,0,0,0,0,6,0,0
tarea,'depender de el programa ',0,0,1,1,1,0,0,0,1,0,0,0
tarea,'el 3 estar difícil , aparente_mente ser alto quiloso , pero yo se que prologá poder , pero no se como escribir lo ',2,2,1,2,4,5,3,0,0,3,1,0
socio-emocional,'el tema ser q no le ver el enfocó ',0,1,2,2,2,1,1,0,0,0,0,0
tarea,'ser a_modo_de comentario creer ',0,0,0,1,2,0,0,0,1,0,0,0
tarea,'estar pensar , se referir a ejemplo así cotidiano en el pregunta , porque como decir en que aplicación me hacer dudar ',1,0,1,4,6,3,2,0,3,2,0,0
tarea,'estar todo ? ? o quedar de antes este ',0,1,0,0,2,2,1,0,1,2,0,0
tarea,'goleando ... ajajá ',0,0,0,0,1,0,0,1,0,1,0,0
tarea,'igual me dar el sensación que no este contestar de el todo si se poder con prologá jauja ',0,2,3,2,3,4,1,1,2,0,0,0
tarea,'igual no se si quedar mal el de el dock ',0,3,2,1,1,1,1,0,1,0,0,0
tarea,'el de que se poder implementar en sil y ese nos si hacer falta ',0,0,1,3,3,3,2,0,2,0,0,0
tarea,'el este arreglar creer ',0,0,1,0,2,1,0,0,0,0,0,0
tarea,'el que pasar ser que no entender si hacer el de caso similar o no ',1,2,2,1,4,1,3,0,1,0,0,0
socio-emocional,'mm , no se ',0,1,0,0,0,1,0,1,0,1,0,0
socio-emocional,'ni idea cuanto ser ',0,0,0,1,1,1,1,0,0,0,0,0
socio-emocional,'ni idea ',0,0,0,1,0,0,1,0,0,0,0,0
tarea,'no entender nada de el que decir jajay ',0,1,1,0,2,2,0,1,1,0,0,0
tarea,'no entendió ',0,1,0,0,1,0,0,0,0,0,0,0
tarea,'no entender a qué se referir con el comentario de que se observar comportamiento colorativo , en el gros el de exploratorio . ',2,1,3,3,3,4,0,0,5,2,0,0
tarea,'se suponer que ese estar bien , o estar mal ? ',0,2,0,0,3,2,2,0,0,2,0,0
tarea,'no entender a qué se referir conque \' leer \' uno base de dato ',0,1,1,2,3,2,1,0,2,2,0,0
tarea,'no entender nada el verdad ',0,1,1,1,1,1,0,0,0,0,0,0
tarea,'no lo entendió igual ',0,2,0,0,1,1,0,0,0,0,0,0
tarea,'no se decidir usted como hacer ',0,1,0,0,2,2,1,0,0,0,0,0
tarea,'no se por qué querer agregar le \" base de dato \" directa_mente jajay ',0,2,0,2,2,3,0,1,2,2,0,0
tarea,'no se que querer poner ',0,1,0,0,2,2,0,0,0,0,0,0
socio-emocional,'no se si estaré bien , pero algo haber q poner jajay ',0,2,0,0,3,3,2,1,0,1,0,0
socio-emocional,'no se ',0,1,0,0,0,1,0,0,0,0,0,0
tarea,'no si si me decir a mi o a bruno ? ',1,1,1,1,0,1,3,0,2,1,0,0
tarea,'nos si bruno terminar de acomodar lo ',1,0,0,1,2,1,1,0,1,0,0,0
tarea,'o no ? ',0,1,0,0,0,0,1,0,0,1,0,0
tarea,'para mi no dar poner coligo ',0,1,1,0,3,0,0,0,1,0,0,0
tarea,'pasar que prologá hacer machina de palabra especificar ( no me acuerdo como se llama ) por ah primero habría que abstraer el problema para después poder tratar lo . . ',1,3,1,7,6,3,3,0,3,4,0,0
tarea,'pero dieno ah en ese de el nene , cual ser el problema ? ',1,0,2,3,1,2,1,0,2,2,0,0
tarea,'y no seriar uno conocimiento que se adquirir por el memoria de habitar ? ',0,1,2,2,3,2,1,0,2,1,0,0
tarea,'pero este deber ser de el mismo amito ? ',1,0,1,1,2,1,1,0,1,1,0,0
tarea,'pero no creer que hacer falta ',0,1,0,1,2,0,2,0,0,0,0,0
tarea,'q ser uno base de dato q andar bien si no se utilizar indicás ',0,2,1,2,4,2,2,0,1,0,0,0
tarea,'que seriar el q decir el puf que pasar ',0,0,2,1,3,2,1,0,0,0,0,0
socio-emocional,'reasiente no se jajay ',0,2,0,0,0,1,0,1,0,0,0,0
tarea,'si mucho tampoco especificar pi capaz el que decir no este bien ja ',1,3,2,1,2,1,2,1,0,0,0,0
socio-emocional,'si poder ser . . ',0,0,0,0,2,0,1,0,0,2,0,0
socio-emocional,'si , no saber si hacer falta ',0,1,0,1,2,0,2,0,0,1,0,0
tarea,'también estar el paso de el razonamiento basar en caso pero no se si dar poner los , sino solo numerar los ',0,2,2,3,6,3,3,0,2,1,0,0
tarea,'uh , no saber eh ',0,1,0,1,1,0,0,1,0,1,0,0
tarea,'hm ... no estar seguro de ese ',0,2,0,1,1,1,0,0,1,1,0,0
socio-emocional,'y con_respecto_a el 3 no tener idea jajay ',0,1,1,1,1,0,1,1,1,0,1,0
tarea,'y de el 3 nos ',0,0,1,1,0,0,1,0,1,0,1,0
socio-emocional,'y el de educación a distancia mucho no me cerrar tampoco ',0,3,1,2,1,1,1,0,2,0,0,0
tarea,'y nos si mandar lo ya ',0,1,0,1,1,1,2,0,0,0,0,0
tarea,'ya meter nos a detallar no se si sumar ',0,2,0,0,3,2,1,0,1,0,0,0
socio-emocional,'yo creer que también ',0,1,0,0,1,1,1,0,0,0,0,0
tarea,'yo tampoco entendió ',0,1,0,0,1,1,0,0,0,0,0,0
tarea,'a mi me gustaría cerrar el uno con ese ',1,0,2,0,1,3,0,0,2,0,0,0
socio-emocional,'analogía me sonar raro también ',1,0,0,1,2,1,0,0,0,0,0,0
socio-emocional,'analogías me parecer erróneo ',1,0,0,1,1,1,0,0,0,0,0,0
socio-emocional,'bueno maná , ya te decir que no podar imaginar te que por hacer uno copinaste se ir a cambiar todo el formato ',1,2,3,3,6,3,2,0,2,1,0,0
socio-emocional,'habón , banca uno toque , me parecer que te estar marear ',0,0,1,2,4,2,1,0,0,2,0,0
tarea,'riego , alguno vez usar prologá ? ',0,0,1,3,1,0,0,0,0,2,0,0
tarea,'el que hacer en prologá orientar en ui en 20 línea , en otro programa no orientar a lógica te llevar 10k de línea ',0,1,2,6,4,2,0,0,6,1,2,0
socio-emocional,'decir que me parecer erróneo , me hacer ruido , qué se yo , estar opinar ',1,0,0,1,5,5,1,0,0,3,0,0
socio-emocional,'odie , no te estar retar , sólo te estar decir que dejar el detalle para después , el nota de el trabajo ser individual y estar todo logreado , acá nadie perjudicar a el resto ',1,4,5,6,8,3,2,0,3,4,0,0
tarea,'ser copa & pastar poner ese ',1,0,0,0,3,1,0,0,0,1,0,0
tarea,'estar medio a el pedo ese de abajo ',1,1,1,1,1,1,0,0,2,0,0,0
tarea,'haber TM_min:5 de edición innecesario , y haber acordar que izamos a dar le \" estilo \" antecede entregar para que no pasar este cosa ',1,1,1,3,7,1,3,0,4,3,1,0
tarea,'faja , estar bastante errar si confiar ciega_mente en w_i_k_i_pedia , sobre todo en español , pero ese ser otro tema ',1,2,1,2,4,2,2,1,3,3,0,0
tarea,'el de w_i_k_i_pedia este bien ',1,0,2,1,0,0,0,0,1,0,0,0
socio-emocional,'lo decir enseriar jajay ',0,0,0,0,2,1,0,1,0,0,0,0
socio-emocional,'lo hacer vos más abajo , hacer vos uno salto de página , no poder interrumpir así_como si nada ',0,3,1,2,4,4,2,0,1,2,0,0
socio-emocional,'mm , ese casi me convencer ... pasar que podrir hacer se así si ya saber donde no machear , pero sino no ',0,4,0,2,5,4,4,1,0,3,0,0
socio-emocional,'no lo entender a el diferencia y no me dejar explicar se las ',0,2,1,1,3,4,1,0,1,0,0,0
socio-emocional,'no , no creer ',0,2,0,0,1,0,0,0,0,1,0,0
tarea,'para mi el que tener que poner ser por se poder implementar en prologá ',0,0,2,2,5,2,1,0,2,0,0,0
socio-emocional,'no , no ser lo mismo . ',1,2,0,0,1,1,0,0,0,2,0,0
socio-emocional,'ir agregar ahora , en este momento como nota y no se perder como en uno chata . ',0,2,2,3,3,1,3,0,2,2,0,0
socio-emocional,'para mi si ',0,0,1,0,0,0,1,0,1,0,0,0
socio-emocional,'pero saber leu estar loco jajajá ',1,0,0,1,2,0,1,1,0,0,0,0
socio-emocional,'pero yo tener uno horario chotis_i_mos ',1,0,1,1,1,1,1,0,0,0,0,0
socio-emocional,'tonel uno poco de onda , no ser el único que tener responsabilidad , estar todo en el mismo ? ',2,1,3,3,3,3,0,0,2,3,0,0
socio-emocional,'por_favor pueden_parar ',0,1,0,1,0,0,0,0,0,0,0,0
socio-emocional,'porque ser choto el ejemplo ',0,0,1,2,1,0,1,0,0,0,0,0
socio-emocional,'si pero no ser el mismo definir lo como que buscar en uno base de dato de solución ',1,1,2,3,3,2,3,0,3,0,0,0
socio-emocional,'si que no ',0,1,0,0,0,0,2,0,0,0,0,0
socio-emocional,'sólo que yo estar perder el paciencia tratar de editar , y si ir a seguir así por mucho tiempo ya ser , me ir a dormir . ',0,3,2,2,9,2,3,0,4,3,0,0
socio-emocional,'no me guardar nada , implemente ser ese ',0,2,0,0,2,3,0,0,0,1,0,0
socio-emocional,'tampoco ser que te ir a putear por uno par de edición , pero que estar TM_min:10 todo romper y nadie lo arreglar no me motivar mucho a seguir intentar solucionar el cosa ... lo tener que arreglar yo , ya estar . ',0,4,2,3,13,9,3,0,4,4,1,0
tarea,'todo bien pero no lo volver a hacer ',0,2,0,0,2,2,1,0,1,0,0,0
socio-emocional,'yo estar bastante tranquilizo eh , me estar haciendo_cargo de todo el que estar pasar y no me quedar de brazo cruzar esperar que se solucionar todo mágica_mente ',1,3,3,1,9,5,2,1,2,1,0,0
socio-emocional,'gracia ? ',0,0,0,1,0,0,0,0,0,1,0,0
socio-emocional,'gracia ',0,0,0,1,0,0,0,0,0,0,0,0
socio-emocional,'gracia ',0,0,0,1,0,0,0,0,0,0,0,0
socio-emocional,'ok , gracia laura ',1,0,0,2,0,0,0,0,0,1,0,0
socio-emocional,'ah da le ',0,0,0,0,1,1,0,1,0,0,0,0
socio-emocional,'bueno el borro ',0,0,1,1,0,0,0,1,0,0,0,0
socio-emocional,'bueno si ',0,0,0,0,0,0,1,1,0,0,0,0
socio-emocional,'bueno ',0,0,0,0,0,0,0,1,0,0,0,0
socio-emocional,'bueno ',0,0,0,0,0,0,0,1,0,0,0,0
socio-emocional,'clac ro si ',0,0,0,2,0,0,1,0,0,0,0,0
socio-emocional,'claro todo ese , el fecha de entrega ',0,1,2,2,0,1,0,0,1,1,0,0
socio-emocional,'claro ',0,1,0,0,0,0,0,0,0,0,0,0
socio-emocional,'clareos ',0,1,0,0,0,0,0,0,0,0,0,0
