@relation chat

@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
respuesta,tarea,'Estoy rindiendo un final a esa hora'
negativa,socio-emocional,'Gracias por copypastearme la definición de una palabra que ya sabía, no era necesario'
respuesta,tarea,'hay redundancia'
respuesta,tarea,'Jaja no nos sirve java'
respuesta,tarea,'justo en ese horario no puedo doy clases..'
pregunta,tarea,'leiste lo que pusieron??'
positiva,socio-emocional,'q participemos todos es mas facil si estamos todos y lo terminamos de una'
respuesta,tarea,'mas tarde puedo, pero pensaba estudiar, mañana tengo un final'
negativa,socio-emocional,'me gustaba mas antes'
negativa,socio-emocional,naa
negativa,socio-emocional,'nadie se quedó de brazos cruzados.'
negativa,socio-emocional,'No agregen palabras a la definición que pueden confundir'
negativa,socio-emocional,'no chabón'
negativa,socio-emocional,'no estarías ayudando a mi dolor de cabeza JAJAJ'
negativa,socio-emocional,'no estoy hablando de pasar nada'
negativa,socio-emocional,'no man, es una locura, tenés idea de lo que es? no es algo fácil, por qué te creés que no encontramos nada? jaja'
negativa,socio-emocional,'No me hagas quedar como un ortiba, vos sabés que no está bien mover todo así como si nada, vos mismo pediste perdón después del paste jaja ?'
negativa,socio-emocional,'No me metería en eso'
negativa,socio-emocional,'no me parece lo del modelo de negocios'
negativa,socio-emocional,'no no banca que ya paamos al 2'
negativa,socio-emocional,'no no comparemos mas'
negativa,socio-emocional,'no no recien prendo la pc'
negativa,socio-emocional,'no pará, no necesariamente'
negativa,socio-emocional,'no puedo directamente, entro a trabajar a las 9, a las 5 estoy en el campus, tambien llego a casa tardisimo y el sabado me levanto temprano'
negativa,socio-emocional,'no seas cabeza'
negativa,socio-emocional,'no te enojes jaja'
negativa,socio-emocional,'No te la van a dar, creo que no entendés el propósito de los trabajos'
respuesta,tarea,'no vi que dejaran nada todavia'
respuesta,tarea,'no, estamos mateo, juan, diego y yo'
negativa,socio-emocional,'no, nada de aplicaciones JAJAJ'
negativa,socio-emocional,'no, no hay nadie jaja'
negativa,socio-emocional,'No, no pueden generalizar así jaja'
negativa,socio-emocional,'no, todo bien, pero me rompí el lomo leyendo papers, y artículos para poder liquidarlo hoy, estoy con fiebre, anginas, y mañana tengo que dejar todo listo para viajar a la noche'
negativa,socio-emocional,no
negativa,socio-emocional,no
negativa,socio-emocional,no
negativa,socio-emocional,no
negativa,socio-emocional,'Para mi no'
negativa,socio-emocional,'pero no podemos copypastearla'
negativa,socio-emocional,'porque para volver a pensar en como traducirlo como ya lo tenemos no tiene sentido'
negativa,socio-emocional,'Sí, pero no podés hacer eso chabón, not cool.'
respuesta,tarea,'si. me parece q está medio pobre'
positiva,socio-emocional,Sí
negativa,socio-emocional,'todo bien, pero no, no vuelvas a hacer eso'
negativa,socio-emocional,'wtf, no, no seas villero'
respuesta,tarea,'yo estoy cocinando ?'
respuesta,tarea,'yo mañana tengo que ir a la facultad a las 14hs a hablar con los de operativa por el tema del trabajo, y despues viajaria, el tema es que no se cuanto demorare en la facu para saber cuando viajar'
respuesta,tarea,'Yo no puedo mandarlo estoy saliendo en viaje'
respuesta,tarea,'Yo tengo que ir a operativa a la defensa y hasta las 5 capaz no me desocupo'
pregunta,tarea,'A qué se refieren con el aprendizaje de máquinas?'
pregunta,tarea,'No entiendo, me suena SUPER redundante'
pregunta,tarea,'aaa, habia una clasificacion, pero no se si incluirlo o no'
pregunta,tarea,'adaptar el qué?'
pregunta,tarea,'alguien puede aportar la 3 partiendo de lo que dice el link ese? en el 5.1'
pregunta,tarea,'alguien se ofrece?'
pregunta,tarea,'alguien tiene ganas de probar esto? acá en linux no tengo el swi prolog'
pregunta,tarea,'aprendizaje de las máquinas? no entendí'
positiva,socio-emocional,'bueno no se'
respuesta,tarea,'bueno pero me refiero a q esa parte nose si es importante'
pregunta,tarea,'che en la uno agregamos lo de las fases no?'
pregunta,tarea,'che estuvo bien la entrega? el asunto del mail y el titulo del trabajo eran asi?'
pregunta,tarea,'che, que onda con la uno? parece q no estan todos de acuerdo en qué poner?'
respuesta,tarea,'che, y yo diria que saquemos esa ultima, porque total ya tenemos 3, y dudo mucho que la ultima este bien'
respuesta,tarea,'código no vamos a encontrar, dudo que exxista públicamente'
pregunta,tarea,'comparacion de casos, se refiere al momento que buscas un caso similar que te permite resolver el problema actual?'
respuesta,tarea,'confirmo que me llego la invitación.'
positiva,socio-emocional,'Si creo que puedo mañana a esa hora'
respuesta,tarea,'creo q era una asociacion muy rapida o algo de eso'
respuesta,tarea,'creo q somos 3'
respuesta,tarea,'creo que mañana a la tarde tengo que viajar, todavia no se la hora, pero les aviso'
pregunta,tarea,'de que hablan??'
pregunta,tarea,'de qué hablás?'
pregunta,tarea,'decis por ejemplo \"not (...), fail?'
respuesta,tarea,'Depende del programa'
respuesta,tarea,'el 3 está difícil, aparentemente es alto quilombo, pero yo se que prolog puede, pero no se como escribirlo'
negativa,socio-emocional,'el tema es q no le veo el enfoq'
respuesta,tarea,'era a modo de comentario creo'
respuesta,tarea,'estaba pensado, se refiere a ejemplos asi cotidianos en la pregunta, porque como dicen en que aplicaciones me hizo dudar'
pregunta,tarea,'estamos todos?? o quedo de antes esto'
respuesta,tarea,'googleando... ajaja'
respuesta,tarea,'igual me da la sensacion que no esta contestado del todo si se puede con prolog jaaja'
respuesta,tarea,'igual no se si quedo mal lo del doc'
respuesta,tarea,'lo de que se puede implementar en sql y eso nose si hace falta'
respuesta,tarea,'lo esta arreglando creo'
pregunta,tarea,'lo que pasa es que no entiendo si hace lo de casos similares o no'
positiva,socio-emocional,'mmm, no se'
positiva,socio-emocional,'ni idea cuantos eran'
positiva,socio-emocional,'ni idea'
pregunta,tarea,'no entendí nada de lo que dijiste jaja'
pregunta,tarea,'no entendi'
pregunta,tarea,'No entiendo a qué se refieren con el comentario de que se observó comportamiento colaborativo, en el gdoc los de exploratoria.'
pregunta,tarea,'Se supone que eso esté bien, o está mal?'
pregunta,tarea,'no entiendo a qué se refieren conque \'lee\' una base de datos'
pregunta,tarea,'no entiendo nada la verdad'
pregunta,tarea,'no lo entendi igual'
pregunta,tarea,'no se decidan ustedes como hacemos'
pregunta,tarea,'No se por qué querés agregarle \"base de datos\" directamente jaja'
pregunta,tarea,'no se que quisieron poner'
negativa,socio-emocional,'No se si estara bien, pero algo hay q poner jaja'
positiva,socio-emocional,'no se'
pregunta,tarea,'no si si me decis a mi o a bruno?'
pregunta,tarea,'nose si bruno termino de acomodarlo'
pregunta,tarea,'o no?'
respuesta,tarea,'para mi no da poner codigo'
respuesta,tarea,'pasa que prolog hace matching de palabras especificas (no me acuerdo como se llamas) por ahi primero habria que abstraer el problema para despues poder tratarlo..'
pregunta,tarea,'pero diego ahi en eso del nene, cual es el problema?'
pregunta,tarea,'y no seria un conocimiento que se adquiere por la memoria de habito?'
pregunta,tarea,'pero estos deben ser del mismo ambito?'
respuesta,tarea,'pero no creo que haga falta'
respuesta,tarea,'q es una base de datos q anda bien si no se utilizan indices'
respuesta,tarea,'que seria lo q dice el pdf que pasaste'
negativa,socio-emocional,'realmente no se jaja'
respuesta,tarea,'si mucho tampoco especifiquemos pq capaz lo que dije no esta bien jaj'
positiva,socio-emocional,'si puede ser..'
positiva,socio-emocional,'si, no sé si hacía falta'
respuesta,tarea,'tambien estaban los pasos del razonamiento basado en casos pero no se si da ponerlos, sino solo numerarlos'
pregunta,tarea,'uhm, no sé eh'
pregunta,tarea,'Uhm... no estoy seguro de eso'
negativa,socio-emocional,'y con respecto al 3 no tengo idea jaja'
pregunta,tarea,'y de la 3 nose'
negativa,socio-emocional,'y la de educacion a distancia mucho no me cierra tampoco'
pregunta,tarea,'y nose si mandarlo ya'
pregunta,tarea,'ya meternos a detallar no se si suma'
positiva,socio-emocional,'Yo creo que también'
pregunta,tarea,'yo tampoco entendi'
respuesta,tarea,'a mi me gustaria cerrar el uno con eso'
negativa,socio-emocional,'analogia me suena raro tambien'
negativa,socio-emocional,'Analogías me parece erróneo'
negativa,socio-emocional,'Bueno man, ya te dije que no podes imaginarte que por hacer un copypaste se va a cambiar todo el formato'
positiva,socio-emocional,'Chabón, bancá un toque, me parece que te estás mareando'
pregunta,tarea,'Diego, alguna vez usaste prolog?'
respuesta,tarea,'Lo que hacés en prolog orientado en AI en 20 líneas, en otro programa no orientado a lógica te lleva 10k de líneas'
negativa,socio-emocional,'Dije que me parecía erróneo, me hacía ruido, qué se yo, estaba opinando'
positiva,socio-emocional,'Eddie, no te estoy retando, sólo te estoy diciendo que dejen los detalles para después, la nota del trabajo es individual y está todo loggeado, acá nadie perjudica al resto'
respuesta,tarea,'es copy & paste poner eso'
respuesta,tarea,'está medio al pedo eso de abajo'
respuesta,tarea,'Hubieron 5 minutos de ediciones innecesarias, y habíamos acordado que ibamos a darle \"estilos\" antes de entregar para que no pasen estas cosas'
respuesta,tarea,'Jaja, estás bastante errado si confiás ciegamente en wikipedia, sobre todo en español, pero ese es otro tema'
respuesta,tarea,'la de wikipedia esta bien'
positiva,socio-emocional,'lo digo enserio jaja'
negativa,socio-emocional,'lo hacés vos más abajo, hacés vos un salto de página, no podés interrumpir así como si nada'
negativa,socio-emocional,'mmm, eso casi me convence... pasa que podria hacerse asi si ya sabes donde no machea, pero sino no'
negativa,socio-emocional,'No la entendieron a la diferencia y no me dejaron explicarselas'
negativa,socio-emocional,'no, no creo'
respuesta,tarea,'para mi lo que tenemos que poner es porq se puede implementar en prolog'
negativa,socio-emocional,'No, no es lo mismo.'
positiva,socio-emocional,'Vamos agregando ahora, en este momento como notas y no se pierde como en un chat.'
positiva,socio-emocional,'para mi si'
positiva,socio-emocional,'pero sabé qeu estás loco jajajaj'
negativa,socio-emocional,'pero yo tengo unos horarios chotisimos'
negativa,socio-emocional,'Ponele un poco de onda, no sos el único que tiene responsabilidades, estamos todos en la misma ?'
negativa,socio-emocional,'POR FAVOR PUEDEN PARAR'
negativa,socio-emocional,'porque es choto el ejemplo'
negativa,socio-emocional,'si pero no es lo mismo definirlo como que busca en una base de datos de soluciones'
negativa,socio-emocional,'si que no'
negativa,socio-emocional,'Sólo que yo estaba perdiendo la paciencia tratando de editar, y si iban a seguir así por mucho tiempo ya fue, me iba a dormir.'
negativa,socio-emocional,'No me guardo nada, simplemente era eso'
negativa,socio-emocional,'Tampoco es que te voy a putear por un par de ediciones, pero que estuvo 10 minutos todo roto y nadie lo arreglaba no me motivaba mucho a seguir intentando solucionar las cosas... lo tuve que arreglar yo, ya está.'
respuesta,tarea,'Todo bien pero no lo vuelvas a hacer'
negativa,socio-emocional,'Yo estoy bastante tranquilito eh, me estoy haciendo cargo de todo lo que está pasando y no me quedé de brazos cruzados esperando que se solucione todo mágicamente'
positiva,socio-emocional,'gracias ?'
positiva,socio-emocional,gracias
positiva,socio-emocional,gracias
positiva,socio-emocional,'ok, gracias laura'
positiva,socio-emocional,'ah dale'
positiva,socio-emocional,'bueno la borro'
positiva,socio-emocional,'bueno si'
positiva,socio-emocional,bueno
positiva,socio-emocional,bueno
positiva,socio-emocional,'cla ro si'
positiva,socio-emocional,'claro todo eso, la fecha de entrega'
positiva,socio-emocional,claro
positiva,socio-emocional,clarooo
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,Joya!
positiva,socio-emocional,'Si ya parece que está y queres, mandalo (hablo por José, que justo estoy con el, y por mi)'
respuesta,tarea,'mañana a la noche, pero llego a casa 10 y media mas o menos'
positiva,socio-emocional,'Ok, a las 5 puedo'
positiva,socio-emocional,se
positiva,socio-emocional,'si ahi estaria'
positiva,socio-emocional,'si dale, de ultima si encontramos otra la agegamos'
positiva,socio-emocional,'Si dale'
positiva,socio-emocional,'si les gusta si'
positiva,socio-emocional,'si mirandolo de ese punto de vista tenes razon'
positiva,socio-emocional,'si re tecla'
positiva,socio-emocional,'si si'
positiva,socio-emocional,'Si son muy parecidos'
positiva,socio-emocional,'Si, las etapas en la 2ª,'
positiva,socio-emocional,'Sí, lo puse de mil formas al titulito para los 4 padres'
positiva,socio-emocional,si
positiva,socio-emocional,Sí
positiva,socio-emocional,Sí
positiva,socio-emocional,siii
positiva,socio-emocional,sisi
positiva,socio-emocional,'y por mi si'
positiva,socio-emocional,'yo puedo!'
positiva,socio-emocional,'Yo si.'
respuesta,tarea,'(a las 5)'
positiva,socio-emocional,'a ver si lo acomodo'
respuesta,tarea,acomodalo
respuesta,tarea,'Agregas una nota poniendo algo de la respuesta de un punto'
positiva,socio-emocional,'ahi puse todo lo que creo, de la manera más formal'
positiva,socio-emocional,'ahora a la tarde lo miro si queren podems arreglar una hora para conectarnos todos para hacer algo'
respuesta,tarea,'alguien quiere ir completando la primera con las 4 fases?'
respuesta,tarea,'arreglen la 1'
positiva,socio-emocional,'banquenme hasta después del mediodia que llego y lo repaso'
respuesta,tarea,'bruno queres buscar un ultimo ejemplo o preferis encargarte de la 3?'
respuesta,tarea,'bruno si queres ayudame a arreglar la uno'
respuesta,tarea,'buenisimo esperemos a ver que dicen los demas'
respuesta,tarea,'bueno me pongo a traducir si quieren y le van agregando cosas?'
positiva,socio-emocional,'bueno, a ver, la arreglo yo, pero nadie TOQUE NADA'
respuesta,tarea,'capaz q podemos poner algo mas de nose, que se agregan los casos como hechos en la base'
respuesta,tarea,'capaz que nombrarlos'
respuesta,tarea,'che explayen un poco las otras dos jaja'
respuesta,tarea,'che lo seguimos mañana??'
respuesta,tarea,'Chicos ,pueden usar edición como sugerencias para no tener que editar o borrar cosas'
positiva,socio-emocional,'claro, y de paso vamos viendo si dejamos asi las 2 primeras'
respuesta,tarea,'cosa de mañana ya enviarlo'
respuesta,tarea,'dejen en letra 10 los resultados'
respuesta,tarea,deshagan..
respuesta,tarea,'el sabado hay q entregarlo'
respuesta,tarea,'empecemos si quieren'
respuesta,tarea,'es que hay que aclarar que esos problemas anteriores son los que el mismo resuelve'
respuesta,tarea,'esperemos no hay drama'
respuesta,tarea,'estoy diciendo que redacten con sus palabras, cada uno, lo que respondería a la uno, de manera breve'
respuesta,tarea,'faltaria explicar todo eso jaja'
respuesta,tarea,'formatiemos si les parece q las respuestas queden abajo de las preguntas'
respuesta,tarea,'hablá por acá'
respuesta,tarea,'habria que ver como se realiza la comparacion de los casos'
respuesta,tarea,'hace una cosa pongamos la letra comun en 12 y los titulos en 14'
respuesta,tarea,'hacé una cosa'
respuesta,tarea,'Hace una generalización cuando tiene un nuevo problema mirando los que ya tiene resueltos'
respuesta,tarea,'hagamos una cosa'
respuesta,tarea,'hay qe poner los integrantes'
negativa,socio-emocional,'la diferencia la se yo, así que no me chamuyes (?'
respuesta,tarea,'laura, queres leer la última y decirme q pensas?'
respuesta,tarea,'le acomodas las hojas y borras lo que no va tambien?'
respuesta,tarea,'lee el código'
respuesta,tarea,'lo qe esta en rojo no me lo borren'
respuesta,tarea,'lo que hay que hacer es identificar las 4 etapas e implementarlas en prolog'
respuesta,tarea,'Mañana le pintamos un toque la respuesta'
respuesta,tarea,'martin, a vos te decia si querias poner lo de los telefonos'
respuesta,tarea,'no se olviden de las encuestas..'
respuesta,tarea,'no se olviden de poner biliografia de lo q hayan leido'
positiva,socio-emocional,'no se'
respuesta,tarea,'o ponemos, haciendo una analogia con las analogias, el razonamiento basado en casos es una manera de razonar haciendo analogias'
respuesta,tarea,'o volamos la primera oración en rojo, o todo el párrafo segundo'
respuesta,tarea,'para mi lo mejor es q nos encarguemos de algo en particular cada uno'
respuesta,tarea,'pedimos una reasignacion de grupos...'
respuesta,tarea,'pegue lo de wikipedia'
respuesta,tarea,'Pero a ver, vamos a lo más básico de lo básico'
respuesta,tarea,'pero podriamos mencionar que parte de los problemas, los adapta, y los agrega'
respuesta,tarea,'pero si, nos pusimos de acuerdo un dia y horario para liquidarlo.'
respuesta,tarea,'En 1 horita quedó con moño y todo'
respuesta,tarea,'podriamos googlear un poco mas en los tiempos libres y mañana lo seguimos.. si a alguien se le prende la lamparita que avise jaja'
respuesta,tarea,'pone un dia y hs q puedas o franja horaria asi tratamos de sumarnos todos'
respuesta,tarea,'porque sino lo mandamos como estaba y la catedra no se da ni cuenta'
respuesta,tarea,'hay que definirlo como que va aprendiendo y generando una base de datos'
respuesta,tarea,'quedamos en juntarnos mañana de 23 a 24'
respuesta,tarea,'queres escribirlo?'
respuesta,tarea,'quizas antes de todo el texto que puse habria que poner una mini introduccion diciendo que prolog bla bla'
respuesta,tarea,'quizas no lo asociaria con la forma de pensar de las personas, solo eso'
respuesta,tarea,'si no estas seguro pone que en principio se podría hacer con eso'
respuesta,tarea,'si queres esperamos hasta y 10 y empezamos'
respuesta,tarea,'si quieren hagan el 2'
positiva,socio-emocional,'si quieren lo traduzco'
respuesta,tarea,'Si quieren podemos ir poniendo en el documento, lo que se nos va ocurriendo'
respuesta,tarea,'si quieren vayan escribiendo lo más breve posible como responderían la 1'
respuesta,tarea,'sigan mas abajo'
respuesta,tarea,'sino deja y mañana o pasado lo liquidamos los que estamos'
respuesta,tarea,'sisi, despues pegale una hojeada'
respuesta,tarea,'tendriamos q leer la 1 de nuevo a ver como qdo'
respuesta,tarea,'tendriamos q poner un dia y fecha para estar todos y hacer el TP..'
respuesta,tarea,'tira un ejemplo haber como lo tranformamos... pero tiralo con palabras no con codigo'
respuesta,tarea,'toquen antes de entregar, no modifiquen ahora'
negativa,socio-emocional,'si no aportan datos vayan a dormir jajaj'
respuesta,tarea,'un paradigma de resolucion de problemas'
positiva,socio-emocional,'voy a ir leyendo algo si puedo asi entro en calor ?'
positiva,socio-emocional,'voy agregando al doc y las que no van las borramos'
respuesta,tarea,'y si lo hacemos en este momento exacto que estamos todos? :P'
positiva,socio-emocional,'yo agrego eso en la uno y trato de agregar algo mas'
respuesta,tarea,'yo diría de volarlo'
respuesta,tarea,'yo pongo ese ejemplo, bien copado'
respuesta,tarea,'1 hora y pico con el 1), medio limated'
respuesta,tarea,'a las 3 entonces quedamos o a las 7?'
respuesta,tarea,'a las 7 por mi esta bien'
positiva,socio-emocional,Adhiero
respuesta,tarea,'ahi como esta esta de diez'
respuesta,tarea,'ahi va quedando'
respuesta,tarea,'a la comparacion dejala'
respuesta,tarea,'asi que me parece que qeudo bien'
respuesta,tarea,'banca, eso ultimo que tocaste lo dejaria como estaba, solamente pondria, este proceso se compone de 4 pasos'
positiva,socio-emocional,Buenas!
respuesta,tarea,'Mañana a las 14 entonces?'
positiva,socio-emocional,'bueno como quieran jaja.'
positiva,socio-emocional,'bueno estaría entonces?'
positiva,socio-emocional,'bueno lo dejamos asi entonces'
positiva,socio-emocional,'bueno nose para mi estaria'
positiva,socio-emocional,'bueno sigamos con el doc'
positiva,socio-emocional,'bueno sigamos con la definicion'
positiva,socio-emocional,'bueno ya esta sigamos'
respuesta,tarea,'capaz que faltaria agregar eso'
respuesta,tarea,'Cerca de la noche supongo que estaremos todos'
positiva,socio-emocional,'claaaro, no seria una relacion entre echos 1..1 sino de varios en varios y ahi corrige si la oracion esta bien redactada o la traduce a una frase parecida en otro idioma, parece un ejemplo bueno tambien'
positiva,socio-emocional,'claro eso era, y que gracias a la inteligencia artificial puede agregar nuevas enfermedades con sus respectivos sintomas'
positiva,socio-emocional,'claro, en un par de lados vi tambien que no usan prolog pero no dicen porque.. usan CLIPS'
positiva,socio-emocional,'claro, esta bien'
positiva,socio-emocional,claro
positiva,socio-emocional,'coincido con lo que puso juan en la 3'
respuesta,tarea,'por ahi podriamos agregar que en caso de generalizar todos los problemas quizas seria posible realizarlo pero no asegura que vaya a funcionar en todos los casos..'
positiva,socio-emocional,'Como gusten!'
respuesta,tarea,'Por mi ya estaría!'
respuesta,tarea,'creo que con eso esta bien'
respuesta,tarea,'Creo que esta bien asi'
respuesta,tarea,'Creo que lo que paso fue que yo le entre a dar al Ctrl Z y otros empezaron a intentar acomodar.'
respuesta,tarea,'Ahi se revento todo'
positiva,socio-emocional,'dale agregalo'
positiva,socio-emocional,'dale dale'
positiva,socio-emocional,'dale dale'
positiva,socio-emocional,'Dale estaría bueno'
positiva,socio-emocional,'dale mejor'
positiva,socio-emocional,'dale renzo dale formato'
positiva,socio-emocional,'Dale tipo 7'
positiva,socio-emocional,'Dale, ahi estoy mirando qué se puede agregar'
positiva,socio-emocional,'dale, cuando quieran'
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,dale
positiva,socio-emocional,dale
respuesta,tarea,'el mail lo deben tener'
respuesta,tarea,'entonces el machine learning leia una base de datos y generaba soluciones de las cuales no aprendia'
pregunta,tarea,'este aprende de lo que resolvio, no de los datos reales?'
respuesta,tarea,'entonces hablemos.'
respuesta,tarea,'entonces planificacion tambien esta mal'
respuesta,tarea,'Entonces podemos decir que son 2 cosas distintas, pero que pueden funcionar anidadas'
respuesta,tarea,'entonces se basa en casos'
respuesta,tarea,'entonces se podria realizar buscando sinonimos (es decir abstrayendo el problema) y buscando una solucion general no?'
respuesta,tarea,'Entonces si lo llevamos al área de la inteligencia artificial podemos decir que, un nuevo problema se compara con los casos almacenados previamente en la base de casos y se recuperan uno o varios casos.'
respuesta,tarea,'Luego se utiliza y evalúa una solución, sugerida por los casos que han sido seleccionados con anterioridad, para ver si sirve para solucionar el problema actual.'
respuesta,tarea,'Salvo que el caso recuperado sea igual al actual, en general la solucion tendrá que tener modificaciones, lo que dará lugar a un nuevo caso .'
respuesta,tarea,'entonces solo hay que esperar'
respuesta,tarea,'Es que si esto fuera un debate en persona, todos sabríamos las respuestas a cada pregunta, y hablaríamos hasta llegar a un acuerdo'
positiva,socio-emocional,'es un buen ejemplo el que das juan'
positiva,socio-emocional,'esta bastante bien ... q se yo.'
positiva,socio-emocional,'esta bien'
positiva,socio-emocional,'Está buena la respuesta.'
