@relation chat

@attribute class_area {socio-emocional,tarea}
@attribute mensaje string

@data
socio-emocional,'lo hacés vos más abajo, hacés vos un salto de página, no podés interrumpir así como si nada'
socio-emocional,'mmm, eso casi me convence... pasa que podria hacerse asi si ya sabes donde no machea, pero sino no'
socio-emocional,'No la entendieron a la diferencia y no me dejaron explicarselas'
socio-emocional,'no, no creo'
tarea,'para mi lo que tenemos que poner es porq se puede implementar en prolog'
socio-emocional,'No, no es lo mismo.'
socio-emocional,'Vamos agregando ahora, en este momento como notas y no se pierde como en un chat.'
socio-emocional,'para mi si'
socio-emocional,'pero sabé qeu estás loco jajajaj'
socio-emocional,'pero yo tengo unos horarios chotisimos'
socio-emocional,'Ponele un poco de onda, no sos el único que tiene responsabilidades, estamos todos en la misma ?'
socio-emocional,'POR FAVOR PUEDEN PARAR'
socio-emocional,'porque es choto el ejemplo'
socio-emocional,'si pero no es lo mismo definirlo como que busca en una base de datos de soluciones'
socio-emocional,'si que no'
socio-emocional,'Sólo que yo estaba perdiendo la paciencia tratando de editar, y si iban a seguir así por mucho tiempo ya fue, me iba a dormir.'
socio-emocional,'No me guardo nada, simplemente era eso'
socio-emocional,'Tampoco es que te voy a putear por un par de ediciones, pero que estuvo 10 minutos todo roto y nadie lo arreglaba no me motivaba mucho a seguir intentando solucionar las cosas... lo tuve que arreglar yo, ya está.'
tarea,'Todo bien pero no lo vuelvas a hacer'
socio-emocional,'Yo estoy bastante tranquilito eh, me estoy haciendo cargo de todo lo que está pasando y no me quedé de brazos cruzados esperando que se solucione todo mágicamente'
socio-emocional,'gracias ?'
socio-emocional,gracias
socio-emocional,gracias
socio-emocional,'ok, gracias laura'
socio-emocional,'ah dale'
socio-emocional,'bueno la borro'
socio-emocional,'bueno si'
socio-emocional,bueno
socio-emocional,bueno
socio-emocional,'cla ro si'
socio-emocional,'claro todo eso, la fecha de entrega'
socio-emocional,claro
socio-emocional,clarooo
socio-emocional,dale
socio-emocional,dale
socio-emocional,dale
socio-emocional,dale
socio-emocional,Joya!
socio-emocional,'Si ya parece que está y queres, mandalo (hablo por José, que justo estoy con el, y por mi)'
tarea,'mañana a la noche, pero llego a casa 10 y media mas o menos'
socio-emocional,'Ok, a las 5 puedo'
socio-emocional,se
socio-emocional,'si ahi estaria'
socio-emocional,'si dale, de ultima si encontramos otra la agegamos'
socio-emocional,'Si dale'
socio-emocional,'si les gusta si'
socio-emocional,'si mirandolo de ese punto de vista tenes razon'
socio-emocional,'si re tecla'
socio-emocional,'si si'
socio-emocional,'Si son muy parecidos'
socio-emocional,'Si, las etapas en la 2ª,'
socio-emocional,'Sí, lo puse de mil formas al titulito para los 4 padres'
socio-emocional,si
socio-emocional,Sí
socio-emocional,Sí
socio-emocional,siii
socio-emocional,sisi
socio-emocional,'y por mi si'
socio-emocional,'yo puedo!'
socio-emocional,'Yo si.'
tarea,'(a las 5)'
socio-emocional,'a ver si lo acomodo'
tarea,acomodalo
tarea,'Agregas una nota poniendo algo de la respuesta de un punto'
socio-emocional,'ahi puse todo lo que creo, de la manera más formal'
socio-emocional,'ahora a la tarde lo miro si queren podems arreglar una hora para conectarnos todos para hacer algo'
tarea,'alguien quiere ir completando la primera con las 4 fases?'
tarea,'arreglen la 1'
socio-emocional,'banquenme hasta después del mediodia que llego y lo repaso'
tarea,'bruno queres buscar un ultimo ejemplo o preferis encargarte de la 3?'
tarea,'bruno si queres ayudame a arreglar la uno'
tarea,'buenisimo esperemos a ver que dicen los demas'
tarea,'bueno me pongo a traducir si quieren y le van agregando cosas?'
socio-emocional,'bueno, a ver, la arreglo yo, pero nadie TOQUE NADA'
tarea,'capaz q podemos poner algo mas de nose, que se agregan los casos como hechos en la base'
tarea,'capaz que nombrarlos'
tarea,'che explayen un poco las otras dos jaja'
tarea,'che lo seguimos mañana??'
tarea,'Chicos ,pueden usar edición como sugerencias para no tener que editar o borrar cosas'
socio-emocional,'claro, y de paso vamos viendo si dejamos asi las 2 primeras'
tarea,'cosa de mañana ya enviarlo'
tarea,'dejen en letra 10 los resultados'
tarea,deshagan..
tarea,'el sabado hay q entregarlo'
tarea,'empecemos si quieren'
tarea,'es que hay que aclarar que esos problemas anteriores son los que el mismo resuelve'
tarea,'esperemos no hay drama'
tarea,'estoy diciendo que redacten con sus palabras, cada uno, lo que respondería a la uno, de manera breve'
tarea,'faltaria explicar todo eso jaja'
tarea,'formatiemos si les parece q las respuestas queden abajo de las preguntas'
tarea,'hablá por acá'
tarea,'habria que ver como se realiza la comparacion de los casos'
tarea,'hace una cosa pongamos la letra comun en 12 y los titulos en 14'
tarea,'hacé una cosa'
tarea,'Hace una generalización cuando tiene un nuevo problema mirando los que ya tiene resueltos'
tarea,'hagamos una cosa'
tarea,'hay qe poner los integrantes'
socio-emocional,'la diferencia la se yo, así que no me chamuyes (?'
tarea,'laura, queres leer la última y decirme q pensas?'
tarea,'le acomodas las hojas y borras lo que no va tambien?'
tarea,'lee el código'
tarea,'lo qe esta en rojo no me lo borren'
tarea,'lo que hay que hacer es identificar las 4 etapas e implementarlas en prolog'
tarea,'Mañana le pintamos un toque la respuesta'
tarea,'martin, a vos te decia si querias poner lo de los telefonos'
tarea,'no se olviden de las encuestas..'
tarea,'no se olviden de poner biliografia de lo q hayan leido'
socio-emocional,'no se'
tarea,'o ponemos, haciendo una analogia con las analogias, el razonamiento basado en casos es una manera de razonar haciendo analogias'
tarea,'o volamos la primera oración en rojo, o todo el párrafo segundo'
tarea,'para mi lo mejor es q nos encarguemos de algo en particular cada uno'
tarea,'pedimos una reasignacion de grupos...'
tarea,'pegue lo de wikipedia'
tarea,'Pero a ver, vamos a lo más básico de lo básico'
tarea,'pero podriamos mencionar que parte de los problemas, los adapta, y los agrega'
tarea,'pero si, nos pusimos de acuerdo un dia y horario para liquidarlo.'
tarea,'En 1 horita quedó con moño y todo'
tarea,'podriamos googlear un poco mas en los tiempos libres y mañana lo seguimos.. si a alguien se le prende la lamparita que avise jaja'
tarea,'pone un dia y hs q puedas o franja horaria asi tratamos de sumarnos todos'
tarea,'porque sino lo mandamos como estaba y la catedra no se da ni cuenta'
tarea,'hay que definirlo como que va aprendiendo y generando una base de datos'
tarea,'quedamos en juntarnos mañana de 23 a 24'
tarea,'queres escribirlo?'
tarea,'quizas antes de todo el texto que puse habria que poner una mini introduccion diciendo que prolog bla bla'
tarea,'quizas no lo asociaria con la forma de pensar de las personas, solo eso'
tarea,'si no estas seguro pone que en principio se podría hacer con eso'
tarea,'si queres esperamos hasta y 10 y empezamos'
tarea,'si quieren hagan el 2'
socio-emocional,'si quieren lo traduzco'
tarea,'Si quieren podemos ir poniendo en el documento, lo que se nos va ocurriendo'
tarea,'si quieren vayan escribiendo lo más breve posible como responderían la 1'
tarea,'sigan mas abajo'
tarea,'sino deja y mañana o pasado lo liquidamos los que estamos'
tarea,'sisi, despues pegale una hojeada'
tarea,'tendriamos q leer la 1 de nuevo a ver como qdo'
tarea,'tendriamos q poner un dia y fecha para estar todos y hacer el TP..'
tarea,'tira un ejemplo haber como lo tranformamos... pero tiralo con palabras no con codigo'
tarea,'toquen antes de entregar, no modifiquen ahora'
socio-emocional,'si no aportan datos vayan a dormir jajaj'
tarea,'un paradigma de resolucion de problemas'
socio-emocional,'voy a ir leyendo algo si puedo asi entro en calor ?'
socio-emocional,'voy agregando al doc y las que no van las borramos'
tarea,'y si lo hacemos en este momento exacto que estamos todos? :P'
socio-emocional,'yo agrego eso en la uno y trato de agregar algo mas'
tarea,'yo diría de volarlo'
tarea,'yo pongo ese ejemplo, bien copado'
tarea,'1 hora y pico con el 1), medio limated'
tarea,'a las 3 entonces quedamos o a las 7?'
tarea,'a las 7 por mi esta bien'
socio-emocional,Adhiero
tarea,'ahi como esta esta de diez'
tarea,'ahi va quedando'
tarea,'a la comparacion dejala'
tarea,'asi que me parece que qeudo bien'
tarea,'banca, eso ultimo que tocaste lo dejaria como estaba, solamente pondria, este proceso se compone de 4 pasos'
socio-emocional,Buenas!
tarea,'Mañana a las 14 entonces?'
socio-emocional,'bueno como quieran jaja.'
socio-emocional,'bueno estaría entonces?'
socio-emocional,'bueno lo dejamos asi entonces'
socio-emocional,'bueno nose para mi estaria'
socio-emocional,'bueno sigamos con el doc'
socio-emocional,'bueno sigamos con la definicion'
socio-emocional,'bueno ya esta sigamos'
tarea,'capaz que faltaria agregar eso'
tarea,'Cerca de la noche supongo que estaremos todos'
socio-emocional,'claaaro, no seria una relacion entre echos 1..1 sino de varios en varios y ahi corrige si la oracion esta bien redactada o la traduce a una frase parecida en otro idioma, parece un ejemplo bueno tambien'
socio-emocional,'claro eso era, y que gracias a la inteligencia artificial puede agregar nuevas enfermedades con sus respectivos sintomas'
socio-emocional,'claro, en un par de lados vi tambien que no usan prolog pero no dicen porque.. usan CLIPS'
socio-emocional,'claro, esta bien'
socio-emocional,claro
socio-emocional,'coincido con lo que puso juan en la 3'
tarea,'por ahi podriamos agregar que en caso de generalizar todos los problemas quizas seria posible realizarlo pero no asegura que vaya a funcionar en todos los casos..'
socio-emocional,'Como gusten!'
tarea,'Por mi ya estaría!'
tarea,'creo que con eso esta bien'
tarea,'Creo que esta bien asi'
tarea,'Creo que lo que paso fue que yo le entre a dar al Ctrl Z y otros empezaron a intentar acomodar.'
tarea,'Ahi se revento todo'
socio-emocional,'dale agregalo'
socio-emocional,'dale dale'
socio-emocional,'dale dale'
socio-emocional,'Dale estaría bueno'
socio-emocional,'dale mejor'
socio-emocional,'dale renzo dale formato'
socio-emocional,'Dale tipo 7'
socio-emocional,'Dale, ahi estoy mirando qué se puede agregar'
socio-emocional,'dale, cuando quieran'
socio-emocional,dale
socio-emocional,dale
socio-emocional,dale
socio-emocional,dale
socio-emocional,dale
socio-emocional,dale
tarea,'el mail lo deben tener'
tarea,'entonces el machine learning leia una base de datos y generaba soluciones de las cuales no aprendia'
tarea,'este aprende de lo que resolvio, no de los datos reales?'
tarea,'entonces hablemos.'
tarea,'entonces planificacion tambien esta mal'
tarea,'Entonces podemos decir que son 2 cosas distintas, pero que pueden funcionar anidadas'
tarea,'entonces se basa en casos'
tarea,'entonces se podria realizar buscando sinonimos (es decir abstrayendo el problema) y buscando una solucion general no?'
tarea,'Entonces si lo llevamos al área de la inteligencia artificial podemos decir que, un nuevo problema se compara con los casos almacenados previamente en la base de casos y se recuperan uno o varios casos.'
tarea,'Luego se utiliza y evalúa una solución, sugerida por los casos que han sido seleccionados con anterioridad, para ver si sirve para solucionar el problema actual.'
tarea,'Salvo que el caso recuperado sea igual al actual, en general la solucion tendrá que tener modificaciones, lo que dará lugar a un nuevo caso .'
tarea,'entonces solo hay que esperar'
tarea,'Es que si esto fuera un debate en persona, todos sabríamos las respuestas a cada pregunta, y hablaríamos hasta llegar a un acuerdo'
socio-emocional,'es un buen ejemplo el que das juan'
socio-emocional,'esta bastante bien ... q se yo.'
socio-emocional,'esta bien'
socio-emocional,'Está buena la respuesta.'
tarea,'Yo le retocaría algunos conectores, algún detalle, pero no mucho mas.'
socio-emocional,'esta bueno lo que escribiste mateo'
socio-emocional,'Está linda esa frase'
tarea,'estamos hablando a un nivel más abstracto, no de aplicaciones'
tarea,estamos?
tarea,'estoy intentando arreglar pero no toq la 1'
socio-emocional,Estoy
socio-emocional,estoy
socio-emocional,estoy
socio-emocional,'hoy a las 7 esta bien por mi'
socio-emocional,'I am'
tarea,'igual medio como q es al pedo, es por ahi'
socio-emocional,'joya entonces'
socio-emocional,joya
tarea,'la y 1 la 2 ya están'
tarea,'lei tambien que decia que en prolog era muy facil comparar objetos ... supongo que se referia a lo mismo.'
tarea,'listo, hay 5'
tarea,'vamos a la 3?'
tarea,'lo dejamos asi?'
tarea,'lo desarrollamos un poco y queda buenisimo'
tarea,'lo que esta ahi esta bien'
tarea,'martín, si te parece agregar lo de mongo, dale nomas'
tarea,'me gustó la diferencia que agregó diego en el 1 al final'
socio-emocional,'es lo que les quería explicar ayer y no me dejaban ?'
tarea,'me gusto la ultima oracion'
tarea,'Me parece bien!'
tarea,'me parece que ahi esta, no encontre mucha informacion para respaldarme, pero asi lo entiendo'
tarea,'Me parece que esta bien lo que pusiste juan'
socio-emocional,'me sumo'
tarea,'medio en criollo'
tarea,'metamosle al 3 asi terminamos y nos olvidamos'
tarea,'no, digo q por ahi poniendo eso como q te vas de tema'
tarea,'No es lo mismo buscar similitudes que hacer una analogía'
tarea,'no importa, sigamos'
tarea,'no no pero me tiro una idea de como modelar un programa cbr'
tarea,'nomas que en el tercerto esta en palabras mas normales'
tarea,'ok nos encontramos a las 7 entonces'
socio-emocional,okaa
socio-emocional,'okas ahi lo convierto y lo mando'
tarea,'osea para mi se refiere si usa razonamiento basado en casos'
tarea,'para mi casos similares generan diferencia en matcheo'
tarea,'para mi eso seria lo mismo que si lo hubieramos hecho \"distribuido en el tiempo\" y no todos conectados'
tarea,'para mi no tiene nada de malo poner la verdad'
tarea,'para mi no tiene sentido la comparacion porq no es el mismo grupo'
tarea,'para mi prolog es mas para lo de lerning machin..'
tarea,'para mi sabe mas el que escribio eso en wikipedia'
tarea,'para mi se puede tirar un pseudocodigo'
socio-emocional,'para mi tambien'
tarea,'para poder generalizar'
tarea,'pasemos al 2'
tarea,'Pensé en algo para responder en la 3), capaz que es fruta, pero es lo que se me ocurrio.'
socio-emocional,'Ahora lo copio al doc.'
tarea,'pero estan en la hoja del punto uno'
tarea,'pero la definicion era hasta ahora \" En el cual se resuelven nuevos problemas basados en problemas anteriores que sean similares a estos.\"'
tarea,'pero la idea no era hablarlo primero entre todos por aca'
tarea,'pero me suena a que era un problema concreto, hicieron un model ocon ia y lo solucionaron'
tarea,'Pero no hay necesidad de que estemos todos conectados'
tarea,'pero no podemos todos hacer todo, por mas que no estemos en el mismo instante?'
tarea,'pero para ir deduciendo alguna definicion voy intentando distinguir bien entre uno y otro'
tarea,'pero queria armar tipo una oracion que lo mencione antes'
tarea,'por ahi eso es mas de implementacion'
tarea,'por ahi eso q dicen se podria utilizar con mongoDB'
tarea,'por lo que entendi lo hace viendo si hace matching'
tarea,'por lo que lei y lo que decia en ese libro se puede, pero no funciona para todo, hay muchos casos que no funcionan ya que no puede razonar igual que una persona y en esos casos falla'
tarea,'por mi seguimos con los demás. si despues vemos que se puede agregar algo mas lo hacemos'
tarea,'porq dice q impracticable probar caso por caso'
tarea,'porq es más o menos la definición'
tarea,'porq yamil agrego eso al principio capaz q tendriamos q esperar a qe lea'
tarea,'porque la utilidad de esto es cuando hay pocas cosas que se repiten mucho, y eso es al reves'
tarea,'porque nadie quiere seguir'
tarea,'porque queda como que los 4 pasos son del aprendizaje incremental'
tarea,'porque se me hace mas machine learning que CBR'
tarea,'puse lo que sinceramente creo'
tarea,'que irian antes de..en resumen y listo'
tarea,'quedo joya ya esta'
tarea,'Quedo muy bien explicado'
tarea,'se me ocurrio algo asi para la 1 pero nose que les parece...'
socio-emocional,'si a mi tmb'
socio-emocional,'si ahi estaria creo'
socio-emocional,'si calculo que si'
socio-emocional,'si creo q si'
