@relation chat

@attribute Conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute message string

@data
10,'No agregen palabras a la definición que pueden confundir'
10,'no chabón'
10,'no estarías ayudando a mi dolor de cabeza JAJAJ'
10,'no estoy hablando de pasar nada'
10,'no man, es una locura, tenés idea de lo que es? no es algo fácil, por qué te creés que no encontramos nada? jaja'
10,'No me hagas quedar como un ortiba, vos sabés que no está bien mover todo así como si nada, vos mismo pediste perdón después del paste jaja ?'
10,'No me metería en eso'
10,'no me parece lo del modelo de negocios'
10,'no no banca que ya paamos al 2'
10,'no no comparemos mas'
10,'no no recien prendo la pc'
10,'no pará, no necesariamente'
10,'no puedo directamente, entro a trabajar a las 9, a las 5 estoy en el campus, tambien llego a casa tardisimo y el sabado me levanto temprano'
10,'no seas cabeza'
10,'no te enojes jaja'
10,'No te la van a dar, creo que no entendés el propósito de los trabajos'
6,'no vi que dejaran nada todavia'
6,'no, estamos mateo, juan, diego y yo'
10,'no, nada de aplicaciones JAJAJ'
10,'no, no hay nadie jaja'
10,'No, no pueden generalizar así jaja'
10,'no, todo bien, pero me rompí el lomo leyendo papers, y artículos para poder liquidarlo hoy, estoy con fiebre, anginas, y mañana tengo que dejar todo listo para viajar a la noche'
10,no
10,no
10,no
10,no
10,'Para mi no'
10,'pero no podemos copypastearla'
10,'porque para volver a pensar en como traducirlo como ya lo tenemos no tiene sentido'
10,'Sí, pero no podés hacer eso chabón, not cool.'
5,'si. me parece q está medio pobre'
3,Sí
10,'todo bien, pero no, no vuelvas a hacer eso'
10,'wtf, no, no seas villero'
6,'yo estoy cocinando ?'
6,'yo mañana tengo que ir a la facultad a las 14hs a hablar con los de operativa por el tema del trabajo, y despues viajaria, el tema es que no se cuanto demorare en la facu para saber cuando viajar'
6,'Yo no puedo mandarlo estoy saliendo en viaje'
6,'Yo tengo que ir a operativa a la defensa y hasta las 5 capaz no me desocupo'
7,'A qué se refieren con el aprendizaje de máquinas?'
8,'No entiendo, me suena SUPER redundante'
8,'aaa, habia una clasificacion, pero no se si incluirlo o no'
7,'adaptar el qué?'
7,'alguien puede aportar la 3 partiendo de lo que dice el link ese? en el 5.1'
7,'alguien se ofrece?'
7,'alguien tiene ganas de probar esto? acá en linux no tengo el swi prolog'
7,'aprendizaje de las máquinas? no entendí'
1,'bueno no se'
5,'bueno pero me refiero a q esa parte nose si es importante'
7,'che en la uno agregamos lo de las fases no?'
8,'che estuvo bien la entrega? el asunto del mail y el titulo del trabajo eran asi?'
8,'che, que onda con la uno? parece q no estan todos de acuerdo en qué poner?'
4,'che, y yo diria que saquemos esa ultima, porque total ya tenemos 3, y dudo mucho que la ultima este bien'
4,'código no vamos a encontrar, dudo que exxista públicamente'
8,'comparacion de casos, se refiere al momento que buscas un caso similar que te permite resolver el problema actual?'
6,'confirmo que me llego la invitación.'
3,'Si creo que puedo mañana a esa hora'
5,'creo q era una asociacion muy rapida o algo de eso'
5,'creo q somos 3'
5,'creo que mañana a la tarde tengo que viajar, todavia no se la hora, pero les aviso'
7,'de que hablan??'
7,'de qué hablás?'
7,'decis por ejemplo \"not (...), fail?'
6,'Depende del programa'
5,'el 3 está difícil, aparentemente es alto quilombo, pero yo se que prolog puede, pero no se como escribirlo'
10,'el tema es q no le veo el enfoq'
5,'era a modo de comentario creo'
5,'estaba pensado, se refiere a ejemplos asi cotidianos en la pregunta, porque como dicen en que aplicaciones me hizo dudar'
7,'estamos todos?? o quedo de antes esto'
6,'googleando... ajaja'
5,'igual me da la sensacion que no esta contestado del todo si se puede con prolog jaaja'
5,'igual no se si quedo mal lo del doc'
4,'lo de que se puede implementar en sql y eso nose si hace falta'
6,'lo esta arreglando creo'
7,'lo que pasa es que no entiendo si hace lo de casos similares o no'
1,'mmm, no se'
1,'ni idea cuantos eran'
1,'ni idea'
7,'no entendí nada de lo que dijiste jaja'
7,'no entendi'
7,'No entiendo a qué se refieren con el comentario de que se observó comportamiento colaborativo, en el gdoc los de exploratoria.'
8,'Se supone que eso esté bien, o está mal?'
8,'no entiendo a qué se refieren conque \'lee\' una base de datos'
7,'no entiendo nada la verdad'
7,'no lo entendi igual'
9,'no se decidan ustedes como hacemos'
7,'No se por qué querés agregarle \"base de datos\" directamente jaja'
7,'no se que quisieron poner'
11,'No se si estara bien, pero algo hay q poner jaja'
1,'no se'
7,'no si si me decis a mi o a bruno?'
7,'nose si bruno termino de acomodarlo'
8,'o no?'
5,'para mi no da poner codigo'
6,'pasa que prolog hace matching de palabras especificas (no me acuerdo como se llamas) por ahi primero habria que abstraer el problema para despues poder tratarlo..'
7,'pero diego ahi en eso del nene, cual es el problema?'
8,'y no seria un conocimiento que se adquiere por la memoria de habito?'
7,'pero estos deben ser del mismo ambito?'
5,'pero no creo que haga falta'
6,'q es una base de datos q anda bien si no se utilizan indices'
6,'que seria lo q dice el pdf que pasaste'
11,'realmente no se jaja'
4,'si mucho tampoco especifiquemos pq capaz lo que dije no esta bien jaj'
3,'si puede ser..'
3,'si, no sé si hacía falta'
4,'tambien estaban los pasos del razonamiento basado en casos pero no se si da ponerlos, sino solo numerarlos'
9,'uhm, no sé eh'
9,'Uhm... no estoy seguro de eso'
11,'y con respecto al 3 no tengo idea jaja'
9,'y de la 3 nose'
10,'y la de educacion a distancia mucho no me cierra tampoco'
9,'y nose si mandarlo ya'
9,'ya meternos a detallar no se si suma'
3,'Yo creo que también'
7,'yo tampoco entendi'
